epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.938,1.7399,2.52666,1.45417,0.97295,0.95873,0.98973,0.64876,1.20905,1.0733,0.69297,0.000665221,0.000665221,0.000665221
2,452.108,1.26777,1.12827,1.05708,0.75616,0.75107,0.7534,0.31827,1.88675,1.34205,0.9953,0.00120003,0.00120003,0.00120003
3,675.092,1.19639,1.00574,1.03597,0.99728,0.99417,0.9946,0.85835,0.80865,0.71695,0.58723,0.00160284,0.00160284,0.00160284
4,895.406,1.10792,0.952,1.01252,0.99187,0.92734,0.99288,0.82275,0.89848,0.8097,0.58857,0.001406,0.001406,0.001406
5,1101.13,1.01141,0.90176,0.99613,0.99162,0.99634,0.99344,0.83336,0.7655,0.68644,0.58333,0.001208,0.001208,0.001208
6,1326.18,0.9238,0.85723,0.97795,1,0.99941,0.995,0.90326,0.59068,0.58627,0.51344,0.00101,0.00101,0.00101
7,1557.57,0.88519,0.84612,0.98329,0.99986,0.99982,0.995,0.85466,0.63059,0.63403,0.50844,0.000812,0.000812,0.000812
8,1792.18,0.83288,0.82567,0.97702,0.99983,0.99986,0.99487,0.89454,0.51258,0.62722,0.50103,0.000614,0.000614,0.000614
9,2029.95,0.76554,0.79094,0.96109,0.99995,1,0.995,0.9041,0.46608,0.57513,0.49496,0.000416,0.000416,0.000416
10,2256.52,0.69668,0.73965,0.94455,1,0.99999,0.995,0.96669,0.40081,0.6063,0.49249,0.000218,0.000218,0.000218
