epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.769,1.77067,2.56583,1.49076,0.95239,0.95855,0.97366,0.64513,1.24742,1.0433,0.67817,0.000665221,0.000665221,0.000665221
2,250.322,1.2765,1.13919,1.06366,0.99425,0.99308,0.99244,0.72279,0.94547,0.84668,0.60403,0.00120003,0.00120003,0.00120003
3,372.818,1.19019,1.01974,1.03963,0.81224,0.90793,0.93153,0.65791,1.09667,0.9861,0.66334,0.00160284,0.00160284,0.00160284
4,496.557,1.0939,0.94915,1.01264,0.99946,0.99835,0.99464,0.74523,0.86495,0.72098,0.5809,0.001406,0.001406,0.001406
5,618.255,0.97128,0.87127,0.98193,0.9989,0.99973,0.99484,0.88075,0.59101,0.67545,0.53196,0.001208,0.001208,0.001208
6,737.389,0.93911,0.85382,0.98046,0.99941,0.99864,0.99498,0.83426,0.52961,0.5775,0.50696,0.00101,0.00101,0.00101
7,854.992,0.88053,0.81802,0.96707,0.99986,0.99981,0.995,0.89483,0.58132,0.67006,0.51682,0.000812,0.000812,0.000812
8,971.937,0.84418,0.80594,0.96663,0.99999,1,0.995,0.91392,0.46878,0.56269,0.48682,0.000614,0.000614,0.000614
9,1087.04,0.82183,0.79892,0.96411,1,0.99999,0.995,0.96306,0.45821,0.58304,0.48257,0.000416,0.000416,0.000416
10,1204.16,0.77005,0.76852,0.95592,0.99999,1,0.995,0.94792,0.41911,0.52547,0.45754,0.000218,0.000218,0.000218
